# gen;best_fit
0;29.7143
1;29.7143
2;29.7143
3;29.7143
4;29.7143
5;29.7143
6;29.7143
7;29.7143
8;29.7143
9;29.7143
10;9.71429
11;9.71429
12;9.71429
13;9.71429
14;9.71429
15;9.71429
16;9.71429
17;9.71429
18;9.71429
19;9.71429
20;9.71429
21;9.71429
22;9.71429
23;9.71429
24;9.71429
25;9.71429
26;9.71429
27;9.71429
28;9.71429
29;9.71429
30;9.71429
31;9.71429
32;9.71429
33;9.71429
34;9.71429
35;9.71429
36;9.71429
37;9.71429
38;9.71429
39;9.71429
40;9.71429
41;9.71429
42;9.71429
43;9.71429
44;9.71429
45;9.71429
46;9.71429
47;9.71429
48;9.71429
49;9.71429
50;9.71429
51;9.71429
52;9.71429
53;9.71429
54;9.71429
55;9.71429
56;9.71429
57;9.71429
58;9.71429
59;9.71429
60;9.71429
61;9.71429
62;9.71429
63;9.71429
64;9.71429
65;9.71429
66;9.71429
67;9.71429
68;9.71429
69;9.71429
70;9.71429
71;9.71429
72;9.71429
73;9.71429
74;9.71429
75;9.71429
76;9.71429
77;9.71429
78;9.71429
79;9.71429
80;9.71429
81;9.71429
82;9.71429
83;9.71429
84;9.71429
85;9.71429
86;9.71429
87;9.71429
88;9.71429
89;9.71429
90;9.71429
91;9.71429
92;9.71429
93;9.71429
94;9.71429
95;9.71429
96;9.71429
97;9.71429
98;9.71429
99;9.71429
100;9.71429
101;9.71429
102;9.71429
103;9.71429
104;9.71429
105;9.71429
106;9.71429
107;9.71429
108;9.71429
109;9.71429
110;9.71429
111;9.71429
112;9.71429
113;9.71429
114;9.71429
115;9.71429
116;9.71429
117;9.71429
118;9.71429
119;9.71429
120;9.71429
121;9.71429
122;9.71429
123;9.71429
124;9.71429
125;9.71429
126;9.71429
127;9.71429
128;9.71429
129;9.71429
130;9.71429
131;9.71429
132;9.71429
133;9.71429
134;9.71429
135;9.71429
136;9.71429
137;9.71429
138;9.71429
139;9.71429
140;9.71429
141;9.71429
142;9.71429
143;9.71429
144;9.71429
145;9.71429
146;9.71429
147;9.71429
148;9.71429
149;9.71429
150;9.71429
151;9.71429
152;9.71429
153;9.71429
154;9.71429
155;9.71429
156;9.71429
157;9.71429
158;9.71429
159;9.71429
160;9.71429
161;9.71429
162;9.71429
163;9.71429
164;9.71429
165;9.71429
166;9.71429
167;9.71429
168;9.71429
169;9.71429
170;9.71429
171;9.71429
172;9.71429
173;9.71429
174;9.71429
175;9.71429
176;9.71429
177;9.71429
178;9.71429
179;9.71429
180;9.71429
181;9.71429
182;9.71429
183;9.71429
184;9.71429
185;9.71429
186;9.71429
187;9.71429
188;9.71429
189;9.71429
190;9.71429
191;9.71429
192;9.71429
193;9.71429
194;9.71429
195;9.71429
196;9.71429
197;9.71429
198;9.71429
199;9.71429
200;9.71429
201;9.71429
202;9.71429
203;9.71429
204;9.71429
205;9.71429
206;9.71429
207;9.71429
208;9.71429
209;9.71429
210;9.71429
211;9.71429
212;9.71429
213;9.71429
214;9.71429
215;9.71429
216;9.71429
217;9.71429
218;9.71429
219;9.71429
220;9.71429
221;9.71429
222;9.71429
223;9.71429
224;9.71429
225;9.71429
226;9.71429
227;9.71429
228;9.71429
229;9.71429
230;9.71429
231;9.71429
232;9.71429
233;9.71429
234;9.71429
235;9.71429
236;9.71429
237;9.71429
238;9.71429
239;9.71429
240;9.71429
241;9.71429
242;9.71429
243;9.71429
244;9.71429
245;9.71429
246;9.71429
247;9.71429
248;9.71429
249;9.71429
250;9.71429
251;9.71429
252;9.71429
253;9.71429
254;9.71429
255;9.71429
256;9.71429
257;9.71429
258;9.71429
259;9.71429
260;9.71429
261;9.71429
262;9.71429
263;9.71429
264;9.71429
265;9.71429
266;9.71429
267;9.71429
268;9.71429
269;9.71429
270;9.71429
271;9.71429
272;9.71429
273;9.71429
274;9.71429
275;9.71429
276;9.71429
277;9.71429
278;9.71429
279;9.71429
280;9.71429
281;9.71429
282;9.71429
283;9.71429
284;9.71429
285;9.71429
286;9.71429
287;9.71429
288;9.71429
289;9.71429
290;9.71429
291;9.71429
292;9.71429
293;9.71429
294;9.71429
295;9.71429
296;9.71429
297;9.71429
298;9.71429
299;9.71429
300;9.71429
301;9.71429
302;9.71429
303;9.71429
304;9.71429
305;9.71429
306;9.71429
307;9.71429
308;9.71429
309;9.71429
310;9.71429
311;9.71429
312;9.71429
313;9.71429
314;9.71429
315;9.71429
316;9.71429
317;9.71429
318;9.71429
319;9.71429
320;9.71429
321;9.71429
322;9.71429
323;9.71429
324;9.71429
325;9.71429
326;9.71429
327;9.71429
328;9.71429
329;9.71429
330;9.71429
331;9.71429
332;9.71429
333;9.71429
334;9.71429
335;9.71429
336;9.71429
337;9.71429
338;9.71429
339;9.71429
340;9.71429
341;9.71429
342;9.71429
343;9.71429
344;9.71429
345;9.71429
346;9.71429
347;9.71429
348;9.71429
349;9.71429
350;9.71429
351;9.71429
352;9.71429
353;9.71429
354;9.71429
355;9.71429
356;9.71429
357;9.71429
358;9.71429
359;9.71429
360;9.71429
361;9.71429
362;9.71429
363;9.71429
364;9.71429
365;9.71429
366;9.71429
367;9.71429
368;9.71429
369;9.71429
370;9.71429
371;9.71429
372;9.71429
373;9.71429
374;9.71429
375;9.71429
376;9.71429
377;9.71429
378;9.71429
379;9.71429
380;9.71429
381;9.71429
382;9.71429
383;9.71429
384;9.71429
385;9.71429
386;9.71429
387;9.71429
388;9.71429
389;9.71429
390;9.71429
391;9.71429
392;9.71429
393;9.71429
394;9.71429
395;9.71429
396;9.71429
397;9.71429
398;9.71429
399;9.71429
400;9.71429
401;9.71429
402;9.71429
403;9.71429
404;9.71429
405;9.71429
406;9.71429
407;9.71429
408;9.71429
409;9.71429
410;9.71429
411;9.71429
412;9.71429
413;9.71429
414;9.71429
415;9.71429
416;9.71429
417;9.71429
418;9.71429
419;9.71429
420;9.71429
421;9.71429
422;9.71429
423;9.71429
424;9.71429
425;9.71429
426;9.71429
427;9.71429
428;9.71429
429;9.71429
430;9.71429
431;9.71429
432;9.71429
433;9.71429
434;9.71429
435;9.71429
436;9.71429
437;9.71429
438;9.71429
439;9.71429
440;9.71429
441;9.71429
442;9.71429
443;9.71429
444;9.71429
445;9.71429
446;9.71429
447;9.71429
448;9.71429
449;9.71429
450;9.71429
451;9.71429
452;9.71429
453;9.71429
454;9.71429
455;9.71429
456;9.71429
457;9.71429
458;9.71429
459;9.71429
460;9.71429
461;9.71429
462;9.71429
463;9.71429
464;9.71429
465;9.71429
466;9.71429
467;9.71429
468;9.71429
469;9.71429
470;9.71429
471;9.71429
472;9.71429
473;9.71429
474;9.71429
475;9.71429
476;9.71429
477;9.71429
478;9.71429
479;9.71429
480;9.71429
481;9.71429
482;9.71429
483;9.71429
484;9.71429
485;9.71429
486;9.71429
487;9.71429
488;9.71429
489;9.71429
490;9.71429
491;9.71429
492;9.71429
493;9.71429
494;9.71429
495;9.71429
496;9.71429
497;9.71429
498;9.71429
499;9.71429
500;9.71429
501;9.71429
502;9.71429
503;9.71429
504;9.71429
505;9.71429
506;9.71429
507;9.71429
508;9.71429
509;9.71429
510;9.71429
511;9.71429
512;9.71429
513;9.71429
514;9.71429
515;9.71429
516;9.71429
517;9.71429
518;9.71429
519;9.71429
520;9.71429
521;9.71429
522;9.71429
523;9.71429
524;9.71429
525;9.71429
526;9.71429
527;9.71429
528;9.71429
529;9.71429
530;9.71429
531;9.71429
532;5.71429
533;5.71429
534;5.71429
535;5.71429
536;5.71429
537;5.71429
538;5.71429
539;5.71429
540;5.71429
541;5.71429
542;5.71429
543;5.71429
544;5.71429
545;5.71429
546;5.71429
547;5.71429
548;5.71429
549;5.71429
550;5.71429
551;5.71429
552;5.71429
553;5.71429
554;5.71429
555;5.71429
556;5.71429
557;5.71429
558;5.71429
559;5.71429
560;5.71429
561;5.71429
562;5.71429
563;5.71429
564;5.71429
565;5.71429
566;5.71429
567;5.71429
568;5.71429
569;5.71429
570;5.71429
571;5.71429
572;5.71429
573;5.71429
574;5.71429
575;5.71429
576;5.71429
577;5.71429
578;5.71429
579;5.71429
580;5.71429
581;5.71429
582;5.71429
583;5.71429
584;5.71429
585;5.71429
586;5.71429
587;5.71429
588;5.71429
589;5.71429
590;5.71429
591;5.71429
592;5.71429
593;5.71429
594;5.71429
595;5.71429
596;5.71429
597;5.71429
598;5.71429
599;5.71429
600;5.71429
601;5.71429
602;5.71429
603;5.71429
604;5.71429
605;5.71429
606;5.71429
607;5.71429
608;5.71429
609;5.71429
610;5.71429
611;5.71429
612;5.71429
613;5.71429
614;5.71429
615;5.71429
616;5.71429
617;5.71429
618;5.71429
619;5.71429
620;5.71429
621;5.71429
622;5.71429
623;5.71429
624;5.71429
625;5.71429
626;5.71429
627;5.71429
628;5.71429
629;5.71429
630;5.71429
631;5.71429
632;5.71429
633;5.71429
634;5.71429
635;5.71429
636;5.71429
637;5.71429
638;5.71429
639;5.71429
640;5.71429
641;5.71429
642;5.71429
643;5.71429
644;5.71429
645;5.71429
