# gen;best_fit
0;364.889
1;364.889
2;364.889
3;364.889
4;300.889
5;300.889
6;300.889
7;300.889
8;256.889
9;256.889
10;256.889
11;256.889
12;256.889
13;146.889
14;146.889
15;146.889
16;146.889
17;146.889
18;146.889
19;136.889
20;94.8889
21;56.8889
22;56.8889
23;56.8889
24;56.8889
25;54.8889
26;54.8889
27;28.8889
28;28.8889
29;28.8889
30;28.8889
31;28.8889
32;28.8889
33;28.8889
34;28.8889
35;28.8889
36;28.8889
37;28.8889
38;28.8889
39;24.8889
40;24.8889
41;24.8889
42;24.8889
43;24.8889
44;16.8889
45;16.8889
46;16.8889
47;16.8889
48;16.8889
49;16.8889
50;16.8889
51;16.8889
52;16.8889
53;16.8889
54;16.8889
55;16.8889
56;16.8889
57;16.8889
58;16.8889
59;16.8889
60;16.8889
61;16.8889
62;16.8889
63;16.8889
64;16.8889
65;16.8889
66;16.8889
67;16.8889
68;16.8889
69;16.8889
70;16.8889
71;16.8889
72;16.8889
73;16.8889
74;16.8889
75;16.8889
76;16.8889
77;16.8889
78;16.8889
79;16.8889
80;16.8889
81;16.8889
82;16.8889
83;16.8889
84;16.8889
85;16.8889
86;16.8889
87;16.8889
88;16.8889
89;16.8889
90;16.8889
91;16.8889
92;16.8889
93;16.8889
94;16.8889
95;16.8889
96;16.8889
97;16.8889
98;16.8889
99;16.8889
100;16.8889
101;16.8889
102;16.8889
103;16.8889
104;16.8889
105;16.8889
106;16.8889
107;16.8889
108;16.8889
109;16.8889
110;16.8889
111;16.8889
112;16.8889
113;16.8889
114;16.8889
115;16.8889
116;16.8889
117;16.8889
118;16.8889
119;16.8889
120;16.8889
121;16.8889
122;16.8889
123;16.8889
124;16.8889
125;10.8889
126;10.8889
127;10.8889
128;10.8889
129;10.8889
130;10.8889
131;10.8889
132;10.8889
133;10.8889
134;10.8889
135;10.8889
136;10.8889
137;10.8889
138;10.8889
139;10.8889
140;10.8889
141;10.8889
142;10.8889
143;2.88889
144;2.88889
145;2.88889
146;2.88889
147;2.88889
148;2.88889
149;2.88889
150;2.88889
151;2.88889
152;2.88889
153;2.88889
154;2.88889
155;2.88889
156;2.88889
157;2.88889
