total_periods;period;courses;total_credits;period_fit;total_fit
4;1;inf360,inf306,inf295,inf313,inf305,inf7,;27;0.444444;2.66667
4;2;inf309,inf228,inf312,inf308,inf307,;27;0.444444;2.66667
4;3;inf310,inf314,;25;1.77778;2.66667
5;1;inf360,inf295,inf306,inf314,;20;0.0625;0.75
5;2;inf228,inf309,inf308,inf7,;19;0.5625;0.75
5;3;inf312,inf305,inf313,inf307,;20;0.0625;0.75
5;4;inf310,;20;0.0625;0.75
6;1;inf360,inf295,inf314,;15;0.64;22.8
6;2;inf309,inf7,inf308,inf307,;14;3.24;22.8
6;3;inf228,inf306,;15;0.64;22.8
6;4;inf312,inf313,inf305,;15;0.64;22.8
6;5;inf310,;20;17.64;22.8
7;1;inf360,inf295,inf306,;15;3.36111;72.8333
7;2;inf7,inf314,inf308,;12;1.36111;72.8333
7;3;inf309,inf228,;12;1.36111;72.8333
7;4;inf310,;20;46.6944;72.8333
7;5;inf313,inf312,;10;10.0278;72.8333
7;6;inf307,inf305,;10;10.0278;72.8333
