total_periods;period;courses;total_credits;period_fit;total_fit
6;1;inf6,inf225,inf276,inf221,inf314,inf4,inf311,inf1,;31;0.0400003;2.8
6;2;inf313,inf322,inf266,inf305,inf285,icn270,;30;1.44;2.8
6;3;inf360,inf246,inf280,inf308,inf306,inf307,inf2,;32;0.639999;2.8
6;4;inf228,inf309,inf256,inf293,inf7,inf295,inf3,;31;0.0400003;2.8
6;5;inf312,inf310,inf343,inf5,;32;0.639999;2.8
7;1;inf276,inf225,inf221,inf4,inf311,inf1,;24;4;8
7;2;inf266,inf322,inf313,inf305,inf285,;25;1;8
7;3;inf246,inf280,inf306,inf307,inf3,inf7,inf2,;26;0;8
7;4;inf360,inf256,inf295,inf308,inf5,inf312,;27;1;8
7;5;inf228,inf309,inf343,inf314,inf293,;27;1;8
7;6;inf310,inf6,icn270,;27;1;8
8;1;inf6,inf276,inf221,inf314,inf311,inf1,;24;2.93877;25.4286
8;2;inf313,inf305,inf285,inf306,;20;5.22449;25.4286
8;3;inf225,inf246,inf280,inf307,inf3,inf2,;24;2.93877;25.4286
8;4;inf322,inf266,inf256,inf308,icn270,;25;7.36734;25.4286
8;5;inf312,inf360,inf343,inf7,inf5,inf4,;21;1.65306;25.4286
8;6;inf228,inf309,inf293,inf295,;22;0.0816331;25.4286
8;7;inf310,;20;5.22449;25.4286
9;1;inf276,inf225,inf221,inf311,inf1,;22;6.25;26
9;2;inf322,inf313,inf305,icn270,;20;0.25;26
9;3;inf285,inf266,inf6,inf4,inf307,;19;0.25;26
9;4;inf246,inf280,inf306,inf7,inf2,;19;0.25;26
9;5;inf256,inf293,inf295,inf308,inf3,;22;6.25;26
9;6;inf360,inf312,inf343,inf5,;17;6.25;26
9;7;inf228,inf309,inf314,;17;6.25;26
9;8;inf310,;20;0.25;26
10;1;inf1,inf221,inf308,inf4,inf5,;16;1.77778;366
10;2;inf6,inf225,inf276,inf314,inf311,;22;21.7778;366
10;3;inf313,inf322,inf266,inf285,icn270,;25;58.7778;366
10;4;inf307,inf312,;10;53.7778;366
10;5;inf360,inf246,inf280,inf3,inf7,inf2,;21;13.4444;366
10;6;inf228,inf305,;15;5.44445;366
10;7;inf295,;5;152.111;366
10;8;inf309,inf256,inf293,inf306,;17;0.111112;366
10;9;inf310,inf343,;25;58.7778;366
