id_sol;period;courses;total_credits;period_fit;total_fit
1;1;inf295,inf312,inf306,inf314,;20;0.0625;0.75
1;2;inf360,inf307,inf313,inf305,;20;0.0625;0.75
1;3;inf308,inf7,inf228,inf309,;19;0.5625;0.75
1;4;inf310,;20;0.0625;0.75
2;1;inf313,inf314,inf305,inf312,;20;0.0625;0.75
2;2;inf360,inf295,inf306,inf308,;20;0.0625;0.75
2;3;inf7,inf228,inf309,inf307,;19;0.5625;0.75
2;4;inf310,;20;0.0625;0.75
3;1;inf295,inf312,inf306,inf314,;20;0.0625;0.75
3;2;inf360,inf307,inf313,inf305,;20;0.0625;0.75
3;3;inf308,inf7,inf228,inf309,;19;0.5625;0.75
3;4;inf310,;20;0.0625;0.75
4;1;inf314,inf295,inf312,inf306,;20;0.0625;0.75
4;2;inf360,inf307,inf313,inf305,;20;0.0625;0.75
4;3;inf7,inf228,inf309,inf308,;19;0.5625;0.75
4;4;inf310,;20;0.0625;0.75
5;1;inf308,inf305,inf360,inf313,inf314,;25;1.77778;2.66667
5;2;inf228,inf309,inf295,inf312,inf306,;27;0.444444;2.66667
5;3;inf7,inf310,inf307,;27;0.444444;2.66667
6;1;inf312,inf314,inf313,;15;22.5625;40.75
6;2;inf305,inf360,inf295,inf307,;20;0.0625;40.75
6;3;inf7,inf228,inf309,inf306,inf308,;24;18.0625;40.75
6;4;inf310,;20;0.0625;40.75
7;1;inf312,inf314,inf313,;15;22.5625;40.75
7;2;inf305,inf360,inf295,inf307,;20;0.0625;40.75
7;3;inf7,inf228,inf309,inf306,inf308,;24;18.0625;40.75
7;4;inf310,;20;0.0625;40.75
8;1;inf295,inf312,inf314,;15;22.5625;40.75
8;2;inf360,inf307,inf313,inf305,;20;0.0625;40.75
8;3;inf7,inf228,inf309,inf308,inf306,;24;18.0625;40.75
8;4;inf310,;20;0.0625;40.75
9;1;inf312,inf313,inf305,;15;22.5625;40.75
9;2;inf360,inf295,inf306,inf308,;20;0.0625;40.75
9;3;inf314,inf7,inf228,inf309,inf307,;24;18.0625;40.75
9;4;inf310,;20;0.0625;40.75
10;1;inf314,inf312,inf313,;15;22.5625;40.75
10;2;inf360,inf295,inf307,inf305,;20;0.0625;40.75
10;3;inf7,inf228,inf309,inf306,inf308,;24;18.0625;40.75
10;4;inf310,;20;0.0625;40.75
11;1;inf312,inf314,inf313,;15;22.5625;40.75
11;2;inf305,inf360,inf295,inf307,;20;0.0625;40.75
11;3;inf7,inf228,inf309,inf306,inf308,;24;18.0625;40.75
11;4;inf310,;20;0.0625;40.75
12;1;inf308,inf305,inf295,;15;0.64;62.8
12;2;inf313,inf314,;10;33.64;62.8
12;3;inf360,inf312,inf306,;15;0.64;62.8
12;4;inf228,inf309,inf7,inf307,;19;10.24;62.8
12;5;inf310,;20;17.64;62.8
13;1;inf305,inf306,;10;95.0625;140.75
13;2;inf313,inf314,inf360,inf308,;20;0.0625;140.75
13;3;inf7,inf228,inf309,inf312,inf295,;24;18.0625;140.75
13;4;inf310,inf307,;25;27.5625;140.75
14;1;inf306,inf305,;10;95.0625;140.75
14;2;inf314,inf360,inf313,inf308,;20;0.0625;140.75
14;3;inf7,inf228,inf309,inf295,inf312,;24;18.0625;140.75
14;4;inf310,inf307,;25;27.5625;140.75
15;1;inf305,inf306,;10;95.0625;140.75
15;2;inf313,inf314,inf360,inf308,;20;0.0625;140.75
15;3;inf7,inf228,inf309,inf312,inf295,;24;18.0625;140.75
15;4;inf310,inf307,;25;27.5625;140.75
16;1;inf308,inf305,;10;95.0625;222.75
16;2;inf360,inf313,inf314,;15;22.5625;222.75
16;3;inf228,inf309,inf295,inf312,inf306,;27;52.5625;222.75
16;4;inf7,inf310,inf307,;27;52.5625;222.75
17;1;inf308,inf305,;10;33.64;262.8
17;2;inf313,;5;116.64;262.8
17;3;inf314,inf360,inf295,inf312,inf306,;25;84.64;262.8
17;4;inf7,inf228,inf309,inf307,;19;10.24;262.8
17;5;inf310,;20;17.64;262.8
18;1;inf305,;5;217.562;330.75
18;2;inf313,inf314,inf360,inf308,;20;0.0625;330.75
18;3;inf7,inf228,inf309,inf312,inf306,inf295,;29;85.5625;330.75
18;4;inf310,inf307,;25;27.5625;330.75
19;1;inf305,;5;217.562;330.75
19;2;inf314,inf360,inf313,inf308,;20;0.0625;330.75
19;3;inf7,inf228,inf309,inf295,inf312,inf306,;29;85.5625;330.75
19;4;inf310,inf307,;25;27.5625;330.75
20;1;inf313,inf305,;10;33.64;342.8
20;2;inf360,inf306,inf308,;15;0.64;342.8
20;3;inf295,;5;116.64;342.8
20;4;inf7,inf228,inf309,inf307,inf312,inf314,;29;174.24;342.8
20;5;inf310,;20;17.64;342.8
21;1;inf313,;5;66.6945;410.833
21;2;inf305,;5;66.6945;410.833
21;3;inf314,;5;66.6945;410.833
21;4;inf360,inf295,inf306,inf308,;20;46.6944;410.833
21;5;inf7,inf228,inf309,inf312,inf307,;24;117.361;410.833
21;6;inf310,;20;46.6944;410.833
22;1;inf313,;5;66.6945;410.833
22;2;inf305,;5;66.6945;410.833
22;3;inf314,;5;66.6945;410.833
22;4;inf360,inf295,inf306,inf308,;20;46.6944;410.833
22;5;inf7,inf228,inf309,inf312,inf307,;24;117.361;410.833
22;6;inf310,;20;46.6944;410.833
23;1;inf313,;5;66.6945;410.833
23;2;inf305,;5;66.6945;410.833
23;3;inf314,;5;66.6945;410.833
23;4;inf360,inf295,inf306,inf308,;20;46.6944;410.833
23;5;inf7,inf228,inf309,inf312,inf307,;24;117.361;410.833
23;6;inf310,;20;46.6944;410.833
24;1;inf308,inf305,;10;33.64;434.8
24;2;inf360,inf313,inf314,;15;0.64;434.8
24;3;inf228,inf309,inf295,inf312,inf306,;27;125.44;434.8
24;4;inf310,inf307,;25;84.64;434.8
24;5;inf7,;2;190.44;434.8
25;1;inf305,;5;116.64;442.8
25;2;inf313,inf314,inf360,inf308,;20;17.64;442.8
25;3;inf7,inf228,inf309,inf312,inf306,inf295,;29;174.24;442.8
25;4;inf307,;5;116.64;442.8
25;5;inf310,;20;17.64;442.8
