id_sol;period;courses;total_credits;period_fit;total_fit
1;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
1;2;inf311,inf253,inf239,inf276,inf155,inf3,;27;0;4
1;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
1;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
1;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
1;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
1;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
1;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
1;9;inf310,inf6,inf305,;27;0;4
2;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
2;2;inf253,inf239,inf276,inf155,inf3,inf311,;27;0;4
2;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
2;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
2;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
2;6;inf5,mat024,inf295,inf322,inf293,inf313,;28;1;4
2;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
2;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
2;9;inf310,inf6,inf305,;27;0;4
3;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
3;2;inf253,inf239,inf276,inf155,inf3,inf311,;27;0;4
3;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
3;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
3;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
3;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
3;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
3;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
3;9;inf305,inf310,inf6,;27;0;4
4;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
4;2;inf311,inf253,inf239,inf276,inf155,inf3,;27;0;4
4;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
4;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
4;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
4;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
4;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
4;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
4;9;inf310,inf6,inf305,;27;0;4
5;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
5;2;inf253,inf239,inf276,inf155,inf3,inf311,;27;0;4
5;3;inf1,mat022,inf221,inf236,inf266,inf2,;26;1;4
5;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
5;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
5;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
5;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
5;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
5;9;inf310,inf6,inf305,;27;0;4
6;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
6;2;inf311,inf253,inf239,inf276,inf155,inf3,;27;0;4
6;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
6;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
6;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
6;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
6;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
6;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
6;9;inf310,inf6,inf305,;27;0;4
7;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
7;2;inf311,inf253,inf239,inf276,inf155,inf3,;27;0;4
7;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
7;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
7;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
7;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
7;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
7;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
7;9;inf310,inf6,inf305,;27;0;4
8;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;4
8;2;inf311,inf253,inf239,inf276,inf155,inf3,;27;0;4
8;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;4
8;4;mat023,fis120,inf225,inf245,inf4,;27;0;4
8;5;inf292,fis140,inf246,inf280,iwn170,;28;1;4
8;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;4
8;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;4
8;8;inf307,inf228,inf309,inf343,inf308,;27;0;4
8;9;inf310,inf6,inf305,;27;0;4
9;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;1;12
9;2;inf253,inf239,inf276,inf155,inf311,;25;4;12
9;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;1;12
9;4;inf3,mat023,fis120,inf225,inf245,inf4,;29;4;12
9;5;inf292,fis140,inf246,inf280,iwn170,;28;1;12
9;6;mat024,inf295,inf322,inf293,inf5,inf313,;28;1;12
9;7;inf285,inf360,inf256,icn270,inf306,inf7,;27;0;12
