id_sol;period;courses;total_credits;period_fit;total_fit
1;1;fis100,mat192,mat190,iwi131,iei162,;17;0.140625;1.875
1;2;dew100,fis101,hcw310,iei134,iei141,iwn261,;16;0.390625;1.875
1;3;mat191,iei133,iei231,iei142,iei271,;17;0.140625;1.875
1;4;mat193,iei233,iei238,iei273,iei262,;17;0.140625;1.875
1;5;dew101,mat194,hcw311,iwg101,iei232,iei274,iei261,;17;0.140625;1.875
1;6;mat195,fis102,iwn170,hrw130,iei218,;16;0.390625;1.875
1;7;iei281,hxwxx1,iei272,iei219,iei161,iwn270,;16;0.390625;1.875
1;8;iwi365,dewxx0,iei132,iei248,iei241,hxwxx2,hfw120,;17;0.140625;1.875
2;1;fis100,mat192,mat190,iwi131,iei162,;17;0.140625;1.875
2;2;dew100,fis101,hcw310,iei134,iei141,iwn261,;16;0.390625;1.875
2;3;mat191,iei133,iei231,iei142,iei271,;17;0.140625;1.875
2;4;mat193,iei233,iei238,iei273,iei262,;17;0.140625;1.875
2;5;dew101,mat194,hcw311,iwg101,iei232,iei274,iei261,;17;0.140625;1.875
2;6;mat195,fis102,iwn170,hrw130,iei218,;16;0.390625;1.875
2;7;iei281,hxwxx1,iei272,iei219,iei161,iwn270,;16;0.390625;1.875
2;8;iwi365,dewxx0,iei132,iei248,iei241,hxwxx2,hfw120,;17;0.140625;1.875
3;1;dew100,fis100,mat192,iwi131,iei162,iwn261,;17;0.140625;1.875
3;2;fis101,mat190,hcw310,iei134,iei141,;16;0.390625;1.875
3;3;mat191,iei133,iei231,iei142,iei271,;17;0.140625;1.875
3;4;mat193,iei233,iei238,iei273,iei262,;17;0.140625;1.875
3;5;dew101,mat194,iwg101,iei232,iei274,iei261,;16;0.390625;1.875
3;6;mat195,fis102,iwn170,hrw130,iei218,;16;0.390625;1.875
3;7;hxwxx1,iei272,iei219,iei161,iwi365,iwn270,hcw311,;17;0.140625;1.875
3;8;hxwxx2,dewxx0,iei281,iei132,iei248,iei241,hfw120,;17;0.140625;1.875
4;1;fis100,mat192,mat190,iwi131,iei162,;17;0.140625;1.875
4;2;dew100,fis101,hcw310,iei134,iei141,iwn261,;16;0.390625;1.875
4;3;mat191,iei133,iei231,iei142,iei271,;17;0.140625;1.875
4;4;mat193,iei233,iei238,iei273,iei262,;17;0.140625;1.875
4;5;iwg101,dew101,mat194,hcw311,iei232,iei274,iei261,;17;0.140625;1.875
4;6;mat195,fis102,iwn170,hrw130,iei218,;16;0.390625;1.875
4;7;iei281,hxwxx1,iei272,iei219,iei161,iwn270,;16;0.390625;1.875
4;8;dewxx0,iei132,iei248,iei241,hxwxx2,hfw120,iwi365,;17;0.140625;1.875
5;1;fis100,mat192,mat190,iwi131,iei162,;17;0.140625;1.875
5;2;dew100,fis101,hcw310,iei134,iei141,iwn261,;16;0.390625;1.875
5;3;mat191,iei133,iei231,iei142,iei271,;17;0.140625;1.875
5;4;mat193,iei233,iei238,iei273,iei262,;17;0.140625;1.875
5;5;iwg101,mat194,hcw311,iei232,iei274,iei261,;16;0.390625;1.875
5;6;mat195,fis102,iwn170,hrw130,iei218,dew101,;17;0.140625;1.875
5;7;iei281,hxwxx1,iei272,iei219,iei161,iwn270,;16;0.390625;1.875
