# gen;best_fit
0;49.3333
1;49.3333
2;49.3333
3;49.3333
4;49.3333
5;49.3333
6;49.3333
7;49.3333
8;49.3333
9;49.3333
10;49.3333
11;49.3333
12;49.3333
13;49.3333
14;49.3333
15;49.3333
16;49.3333
17;49.3333
18;49.3333
19;49.3333
20;49.3333
21;49.3333
22;49.3333
23;49.3333
24;49.3333
25;49.3333
26;49.3333
27;49.3333
28;49.3333
29;49.3333
30;49.3333
31;49.3333
32;49.3333
33;49.3333
34;49.3333
35;49.3333
36;49.3333
37;49.3333
38;49.3333
39;49.3333
40;49.3333
41;49.3333
42;49.3333
43;49.3333
44;49.3333
45;49.3333
46;49.3333
47;49.3333
48;49.3333
49;49.3333
50;49.3333
51;49.3333
52;49.3333
53;49.3333
54;49.3333
55;49.3333
56;49.3333
57;49.3333
58;49.3333
59;49.3333
60;49.3333
61;49.3333
62;49.3333
63;49.3333
64;49.3333
65;49.3333
66;49.3333
67;49.3333
68;49.3333
69;49.3333
70;49.3333
71;49.3333
72;49.3333
73;49.3333
74;49.3333
75;49.3333
76;49.3333
77;49.3333
78;49.3333
79;49.3333
80;49.3333
81;49.3333
82;49.3333
83;49.3333
84;49.3333
85;49.3333
86;49.3333
87;49.3333
88;49.3333
89;49.3333
90;49.3333
91;49.3333
92;49.3333
93;49.3333
94;49.3333
95;49.3333
96;49.3333
97;49.3333
98;49.3333
99;49.3333
100;49.3333
101;49.3333
102;49.3333
103;49.3333
104;49.3333
105;49.3333
106;49.3333
107;49.3333
108;49.3333
109;49.3333
110;49.3333
111;49.3333
112;49.3333
113;49.3333
114;49.3333
115;49.3333
116;49.3333
117;49.3333
118;49.3333
119;49.3333
120;49.3333
121;49.3333
122;49.3333
123;49.3333
124;49.3333
125;49.3333
126;49.3333
127;49.3333
128;49.3333
129;49.3333
130;49.3333
131;49.3333
132;49.3333
133;49.3333
134;49.3333
135;49.3333
136;49.3333
137;49.3333
138;49.3333
139;49.3333
140;49.3333
141;49.3333
142;49.3333
143;49.3333
144;49.3333
145;49.3333
146;49.3333
147;49.3333
148;49.3333
149;49.3333
150;49.3333
151;49.3333
152;49.3333
153;49.3333
154;49.3333
155;49.3333
156;49.3333
157;49.3333
158;49.3333
159;49.3333
160;49.3333
161;49.3333
162;49.3333
163;49.3333
164;49.3333
165;49.3333
166;49.3333
167;49.3333
168;49.3333
169;49.3333
170;49.3333
171;49.3333
172;49.3333
173;49.3333
174;49.3333
175;49.3333
176;49.3333
177;49.3333
178;49.3333
179;49.3333
180;49.3333
181;49.3333
182;49.3333
183;49.3333
184;49.3333
185;49.3333
186;49.3333
187;49.3333
188;49.3333
189;49.3333
190;49.3333
191;49.3333
192;49.3333
193;49.3333
194;49.3333
195;49.3333
196;49.3333
197;49.3333
198;49.3333
199;49.3333
200;49.3333
201;49.3333
202;49.3333
203;49.3333
204;49.3333
205;49.3333
206;49.3333
207;49.3333
208;49.3333
209;49.3333
210;49.3333
211;49.3333
212;49.3333
213;49.3333
214;49.3333
215;49.3333
216;49.3333
217;49.3333
218;49.3333
219;49.3333
220;49.3333
221;49.3333
222;49.3333
223;49.3333
224;49.3333
225;49.3333
226;49.3333
227;49.3333
228;49.3333
229;49.3333
230;49.3333
231;49.3333
232;49.3333
233;49.3333
234;49.3333
235;49.3333
236;49.3333
237;49.3333
238;49.3333
239;49.3333
240;49.3333
241;49.3333
242;49.3333
243;49.3333
244;49.3333
245;49.3333
246;49.3333
247;49.3333
248;49.3333
249;49.3333
250;49.3333
251;49.3333
252;49.3333
253;49.3333
254;49.3333
255;49.3333
256;49.3333
257;49.3333
258;49.3333
259;49.3333
260;49.3333
261;49.3333
262;49.3333
263;49.3333
264;49.3333
265;49.3333
266;49.3333
267;49.3333
268;49.3333
269;49.3333
270;49.3333
271;49.3333
272;49.3333
273;49.3333
274;49.3333
275;49.3333
276;49.3333
277;49.3333
278;49.3333
279;49.3333
280;49.3333
281;49.3333
282;49.3333
283;49.3333
284;49.3333
285;49.3333
286;49.3333
287;49.3333
288;49.3333
289;49.3333
290;49.3333
291;49.3333
292;49.3333
293;49.3333
294;49.3333
295;49.3333
296;49.3333
297;49.3333
298;49.3333
299;49.3333
300;49.3333
301;49.3333
302;49.3333
303;49.3333
304;49.3333
305;49.3333
306;49.3333
307;49.3333
308;49.3333
309;49.3333
310;49.3333
311;49.3333
312;49.3333
313;49.3333
314;49.3333
315;49.3333
316;49.3333
317;49.3333
318;49.3333
319;49.3333
320;49.3333
321;49.3333
322;49.3333
323;49.3333
324;49.3333
325;49.3333
326;49.3333
327;49.3333
328;49.3333
329;49.3333
330;49.3333
331;49.3333
332;49.3333
333;49.3333
334;49.3333
335;49.3333
336;49.3333
337;49.3333
338;49.3333
339;49.3333
340;49.3333
341;49.3333
342;49.3333
343;49.3333
344;49.3333
345;49.3333
346;49.3333
347;49.3333
348;49.3333
349;49.3333
350;49.3333
351;49.3333
352;49.3333
353;49.3333
354;49.3333
355;49.3333
356;49.3333
357;49.3333
358;49.3333
359;49.3333
360;49.3333
361;49.3333
362;49.3333
363;49.3333
364;49.3333
365;49.3333
366;49.3333
367;49.3333
368;49.3333
369;49.3333
370;49.3333
371;49.3333
372;49.3333
373;49.3333
374;49.3333
375;49.3333
376;49.3333
377;49.3333
378;49.3333
379;49.3333
380;49.3333
381;49.3333
382;49.3333
383;49.3333
384;49.3333
385;49.3333
386;49.3333
387;49.3333
388;49.3333
389;49.3333
390;49.3333
391;49.3333
392;49.3333
393;49.3333
394;49.3333
395;49.3333
396;49.3333
397;49.3333
398;49.3333
399;49.3333
400;49.3333
401;49.3333
402;49.3333
403;49.3333
404;49.3333
405;49.3333
406;49.3333
407;49.3333
408;49.3333
409;49.3333
410;49.3333
411;49.3333
412;49.3333
413;49.3333
414;49.3333
415;49.3333
416;49.3333
417;49.3333
418;49.3333
419;49.3333
420;49.3333
421;49.3333
422;49.3333
423;49.3333
424;49.3333
425;49.3333
426;49.3333
427;49.3333
428;49.3333
429;49.3333
430;49.3333
431;49.3333
432;49.3333
433;49.3333
434;49.3333
435;49.3333
436;49.3333
437;49.3333
438;49.3333
439;49.3333
440;49.3333
441;49.3333
442;49.3333
443;49.3333
444;49.3333
445;49.3333
446;49.3333
447;49.3333
448;49.3333
449;49.3333
450;49.3333
451;49.3333
452;49.3333
453;49.3333
454;49.3333
455;49.3333
456;49.3333
457;49.3333
458;49.3333
459;49.3333
460;49.3333
461;49.3333
462;49.3333
463;49.3333
464;49.3333
465;49.3333
466;49.3333
467;49.3333
468;49.3333
469;49.3333
470;49.3333
471;49.3333
472;49.3333
473;49.3333
474;49.3333
475;49.3333
476;49.3333
