# gen;best_fit
0;100
1;100
2;100
3;68
4;68
5;68
6;68
7;68
8;68
9;68
10;68
11;68
12;68
13;48
14;48
15;48
16;48
17;48
18;48
19;48
20;48
21;48
22;48
23;48
24;48
25;48
26;48
27;48
28;48
29;48
30;48
31;48
32;48
33;48
34;48
35;48
36;48
37;48
38;48
39;44
40;44
41;44
42;44
43;44
44;44
45;32
46;32
47;32
48;32
49;32
50;32
51;28
52;28
53;28
54;28
55;28
56;28
57;28
58;28
59;28
60;28
61;28
62;28
63;28
64;28
65;28
66;28
67;28
68;28
69;28
70;28
71;28
72;28
73;28
74;28
75;28
76;28
77;28
78;28
79;28
80;28
81;28
82;28
83;28
84;28
85;28
86;28
87;28
88;28
89;28
90;28
91;28
92;28
93;28
94;28
95;28
96;28
97;28
98;28
99;28
100;28
101;28
102;28
103;28
104;28
105;28
106;28
107;28
108;28
109;28
110;28
111;28
112;28
113;28
114;28
115;28
116;28
117;28
118;28
119;28
120;28
121;28
122;28
123;28
124;28
125;28
126;28
127;28
128;28
129;28
130;28
131;28
132;28
133;28
134;28
135;28
136;28
137;28
138;28
139;28
140;28
141;28
142;28
143;28
144;28
145;28
146;28
147;28
148;28
149;28
150;28
151;28
152;28
153;28
154;28
155;28
156;28
157;28
158;28
159;28
160;28
161;28
162;28
163;28
164;28
165;28
166;28
167;28
168;28
169;28
170;28
171;28
172;28
173;28
174;28
175;28
176;28
177;28
178;28
179;28
180;28
181;28
182;28
183;28
184;28
185;28
186;28
187;28
188;28
189;28
190;28
191;28
192;28
193;28
194;28
195;28
196;28
197;28
198;28
199;28
200;28
201;28
202;28
203;28
204;28
205;28
206;28
207;28
208;28
209;28
210;28
211;28
212;28
213;28
214;28
215;28
216;28
217;28
218;28
219;28
220;28
221;28
222;28
223;28
224;28
225;28
226;28
227;24
228;24
229;24
230;24
231;24
232;24
233;18
234;18
235;18
236;18
237;18
238;18
239;18
240;18
241;18
242;18
243;18
244;18
245;18
246;18
247;18
248;18
249;18
250;18
251;18
252;18
253;18
254;18
255;18
256;18
257;18
258;18
259;18
260;18
261;18
262;18
263;18
264;18
265;18
266;18
267;18
268;18
269;18
270;18
271;18
272;18
273;18
274;18
275;18
276;18
277;18
278;18
279;18
280;18
281;18
282;18
283;18
284;18
285;18
286;18
287;18
288;18
289;18
290;18
291;18
292;18
293;18
294;18
295;18
296;18
297;18
298;18
299;18
300;18
301;18
302;18
303;18
304;18
305;18
306;18
307;18
308;18
309;18
310;18
311;18
312;18
313;18
314;18
315;18
316;18
317;18
318;18
319;18
320;18
321;18
322;18
323;18
324;18
325;18
326;18
327;18
328;18
329;18
330;18
331;18
332;18
333;18
334;18
335;18
336;18
337;18
338;18
339;18
340;18
341;18
342;18
343;18
344;18
345;18
346;18
347;18
348;18
349;18
350;12
351;12
352;12
353;12
354;12
355;12
356;12
357;12
358;12
359;12
360;12
361;12
362;12
363;12
364;12
365;12
366;12
367;12
368;12
369;12
370;12
371;12
372;12
373;12
374;12
375;12
376;12
377;12
378;12
379;12
380;12
381;12
382;12
383;12
384;12
385;12
386;12
387;12
388;12
389;12
390;12
391;12
392;12
393;12
394;12
395;12
396;12
397;12
398;12
399;12
400;12
401;12
402;12
403;12
404;12
405;12
406;12
407;12
408;12
409;12
410;12
411;12
412;12
413;12
414;12
415;12
416;12
417;12
418;12
419;12
420;12
421;12
422;12
423;12
424;12
425;12
426;12
427;12
428;12
429;12
430;12
431;12
432;12
433;12
434;12
435;12
436;12
437;12
438;12
439;12
440;12
441;12
442;12
443;12
444;12
445;12
446;12
447;12
448;12
449;12
450;12
451;12
452;12
453;12
454;12
455;12
456;12
457;12
458;12
459;12
460;12
461;12
462;12
463;12
464;12
465;12
466;12
467;12
468;12
469;12
470;12
471;12
472;12
473;12
474;12
475;12
476;12
477;12
478;12
479;12
480;12
481;12
482;12
483;12
484;12
485;12
486;12
487;12
488;12
489;12
490;12
491;12
492;12
493;12
494;12
495;12
496;12
497;12
498;12
499;12
500;12
501;12
502;12
503;12
504;12
505;12
506;12
507;12
508;12
509;12
510;12
511;12
512;12
513;12
514;12
515;12
516;12
517;12
518;12
519;12
520;12
521;12
522;12
523;12
524;12
525;12
526;12
527;12
528;12
529;12
530;12
531;12
532;12
533;12
534;12
535;12
536;12
537;12
538;12
539;12
540;12
541;12
542;12
543;12
544;12
545;12
546;12
547;12
548;12
549;12
550;12
551;12
552;12
553;12
554;12
555;12
556;12
557;12
558;12
559;12
560;12
561;12
562;12
563;12
564;12
565;12
566;12
567;12
568;12
569;12
570;12
571;12
572;12
573;12
574;12
575;12
576;12
577;12
578;12
579;12
580;12
581;12
582;12
583;12
584;12
585;12
586;12
587;12
588;12
589;12
590;12
591;12
592;12
593;12
594;12
595;12
596;12
597;12
598;12
599;12
