# gen;best_fit
0;302.182
1;302.182
2;302.182
3;302.182
4;258.182
5;258.182
6;258.182
7;258.182
8;258.182
9;258.182
10;258.182
11;258.182
12;258.182
13;258.182
14;258.182
15;258.182
16;258.182
17;210.182
18;210.182
19;210.182
20;190.182
21;190.182
22;190.182
23;190.182
24;186.182
25;186.182
26;186.182
27;186.182
28;146.182
29;146.182
30;146.182
31;146.182
32;106.182
33;106.182
34;106.182
35;106.182
36;82.1818
37;82.1818
38;82.1818
39;42.1818
40;42.1818
41;42.1818
42;42.1818
43;42.1818
44;42.1818
45;26.1818
46;26.1818
47;26.1818
48;26.1818
49;26.1818
50;26.1818
51;26.1818
52;26.1818
53;24.1818
54;24.1818
55;24.1818
56;24.1818
57;24.1818
58;24.1818
59;24.1818
60;24.1818
61;24.1818
62;24.1818
63;24.1818
64;24.1818
65;24.1818
66;24.1818
67;24.1818
68;24.1818
69;24.1818
70;24.1818
71;24.1818
72;24.1818
73;24.1818
74;24.1818
75;24.1818
76;24.1818
77;24.1818
78;24.1818
79;24.1818
80;24.1818
81;24.1818
82;24.1818
83;24.1818
84;24.1818
85;24.1818
86;24.1818
87;24.1818
88;24.1818
89;24.1818
90;24.1818
91;24.1818
92;24.1818
93;24.1818
94;24.1818
95;24.1818
96;24.1818
97;24.1818
98;24.1818
99;24.1818
100;24.1818
101;24.1818
102;24.1818
103;24.1818
104;24.1818
105;24.1818
106;24.1818
107;24.1818
108;24.1818
109;24.1818
110;24.1818
111;24.1818
112;24.1818
113;24.1818
114;24.1818
115;24.1818
116;24.1818
117;24.1818
118;24.1818
119;24.1818
120;24.1818
121;24.1818
122;24.1818
123;24.1818
124;24.1818
125;24.1818
126;24.1818
127;24.1818
128;24.1818
129;24.1818
130;24.1818
131;24.1818
132;24.1818
133;24.1818
134;24.1818
135;24.1818
136;24.1818
137;24.1818
138;24.1818
139;24.1818
140;24.1818
141;24.1818
142;24.1818
143;24.1818
144;24.1818
145;24.1818
146;24.1818
147;24.1818
148;24.1818
149;24.1818
150;24.1818
151;24.1818
152;24.1818
153;24.1818
154;24.1818
