# gen;best_fit
0;208
1;208
2;208
3;208
4;208
5;208
6;208
7;208
8;208
9;208
10;208
11;208
12;208
13;208
14;208
15;208
16;208
17;208
18;208
19;208
20;208
21;208
22;208
23;208
24;208
25;208
26;208
27;208
28;208
29;208
30;208
31;208
32;208
33;208
34;208
35;208
36;208
37;208
38;208
39;208
40;208
41;208
42;208
43;208
44;208
45;208
46;208
47;208
48;208
49;208
50;208
51;208
52;208
53;208
54;208
55;208
56;208
57;208
58;208
59;208
60;208
61;208
62;208
63;208
64;208
65;208
66;208
67;208
68;208
69;208
70;208
71;208
72;208
73;208
74;208
75;208
76;208
77;208
78;208
79;208
80;208
81;208
82;208
83;208
84;208
85;208
86;208
87;208
88;208
89;208
90;208
91;208
92;208
93;208
94;208
95;208
96;208
97;208
98;208
99;208
100;208
101;208
102;208
103;208
104;208
105;208
106;208
107;208
108;208
109;208
110;208
111;208
112;208
113;208
114;208
115;208
116;208
117;208
118;208
119;208
120;208
121;208
122;208
123;208
124;208
125;208
126;208
127;208
128;208
129;208
130;208
131;208
132;208
133;208
134;208
135;208
136;208
137;208
138;96
139;96
140;96
141;96
142;96
143;96
144;96
145;96
146;96
147;96
148;96
149;96
150;96
151;96
152;96
153;96
154;96
155;96
156;96
157;96
158;96
159;96
160;96
161;96
162;96
163;96
164;96
165;96
166;96
167;96
168;96
169;96
170;96
171;96
172;96
173;96
174;96
175;96
176;96
177;96
178;96
179;96
180;96
181;96
182;96
183;96
184;96
185;96
186;96
187;96
188;96
189;96
190;96
191;96
192;96
193;96
194;96
195;96
196;96
197;96
198;96
199;96
200;96
201;96
202;96
203;96
204;96
205;96
206;96
207;96
208;96
209;96
210;96
211;96
212;96
213;96
214;96
215;96
216;96
217;96
218;96
219;96
220;96
221;96
222;96
223;96
224;96
225;96
226;96
227;96
228;96
229;96
230;96
231;96
232;96
233;96
234;96
235;96
236;96
237;96
238;96
239;96
240;96
241;96
242;96
243;96
244;96
245;96
246;96
247;96
248;96
249;96
250;96
251;96
252;96
253;96
254;96
255;96
256;96
257;96
258;96
259;96
260;96
261;96
262;96
263;96
264;96
265;96
266;96
267;96
268;96
269;96
270;96
271;96
272;96
273;96
274;96
275;96
276;96
277;96
278;96
279;96
280;96
281;96
282;96
283;96
284;96
285;96
286;96
287;96
288;96
289;96
290;96
291;96
292;96
293;96
294;96
295;96
296;96
297;96
298;96
299;96
300;96
301;96
302;96
303;96
304;96
305;96
306;96
307;96
308;96
309;96
310;96
311;96
312;96
313;96
314;96
315;96
316;96
317;96
318;96
319;96
320;96
321;96
322;96
323;96
324;96
325;96
326;96
327;96
328;96
329;96
330;96
331;96
332;96
333;96
334;96
335;96
336;96
337;96
338;96
339;96
340;96
341;96
342;96
343;96
344;96
345;96
346;96
347;96
348;96
349;96
350;96
351;96
352;96
353;96
354;96
355;96
356;84
357;84
358;84
359;84
360;84
361;84
362;84
363;84
364;84
365;84
366;84
367;84
368;84
369;84
370;84
371;84
372;84
373;84
374;84
375;84
376;84
377;84
378;84
379;84
380;84
381;84
382;84
383;84
384;84
385;84
386;84
387;84
388;84
389;84
390;84
391;84
392;84
393;84
394;84
395;84
396;84
397;84
398;84
399;84
400;84
401;84
402;84
403;84
404;84
405;84
406;84
407;84
408;84
409;84
410;84
411;84
412;84
413;84
414;84
415;84
416;84
417;84
418;84
419;84
420;84
421;84
422;84
423;84
424;84
425;84
426;84
427;84
428;84
429;84
430;84
431;84
432;84
433;84
434;84
435;84
436;84
437;84
438;84
439;84
440;84
441;84
442;84
443;84
444;84
445;84
446;84
447;84
448;84
449;84
450;84
451;84
452;84
453;84
454;84
455;84
456;84
457;84
458;84
459;84
460;84
461;84
462;84
463;84
464;84
465;84
466;84
467;84
468;84
469;84
470;84
471;84
472;84
473;84
474;84
475;84
476;84
477;84
478;84
479;84
480;84
481;84
482;84
