# gen;best_fit
0;305.636
1;305.636
2;305.636
3;305.636
4;305.636
5;305.636
6;305.636
7;161.636
8;161.636
9;161.636
10;161.636
11;161.636
12;161.636
13;161.636
14;71.6364
15;71.6364
16;71.6364
17;71.6364
18;71.6364
19;71.6364
20;71.6364
21;71.6364
22;71.6364
23;71.6364
24;71.6364
25;71.6364
26;71.6364
27;71.6364
28;71.6364
29;71.6364
30;71.6364
31;71.6364
32;71.6364
33;71.6364
34;71.6364
35;71.6364
36;71.6364
37;71.6364
38;49.6364
39;49.6364
40;37.6364
41;37.6364
42;37.6364
43;37.6364
44;21.6364
45;21.6364
46;21.6364
47;21.6364
48;13.6364
49;13.6364
50;13.6364
51;13.6364
52;13.6364
53;13.6364
54;13.6364
55;13.6364
56;13.6364
57;13.6364
58;13.6364
59;13.6364
60;13.6364
61;13.6364
62;13.6364
63;13.6364
64;13.6364
65;13.6364
66;13.6364
67;13.6364
68;13.6364
69;13.6364
70;13.6364
71;13.6364
72;13.6364
73;13.6364
74;13.6364
75;13.6364
76;13.6364
77;13.6364
78;13.6364
79;13.6364
80;13.6364
81;13.6364
82;13.6364
83;13.6364
84;13.6364
85;13.6364
86;13.6364
87;13.6364
88;13.6364
89;13.6364
90;13.6364
91;13.6364
92;13.6364
93;13.6364
94;13.6364
95;13.6364
96;13.6364
97;13.6364
98;13.6364
99;13.6364
100;13.6364
101;13.6364
102;13.6364
103;13.6364
104;13.6364
105;13.6364
106;13.6364
107;13.6364
108;13.6364
109;13.6364
110;13.6364
111;13.6364
112;13.6364
113;13.6364
114;13.6364
115;13.6364
116;13.6364
117;13.6364
118;13.6364
119;13.6364
120;13.6364
121;13.6364
122;13.6364
123;13.6364
124;13.6364
125;13.6364
126;13.6364
127;13.6364
128;13.6364
129;13.6364
130;13.6364
131;13.6364
132;13.6364
133;13.6364
134;13.6364
135;13.6364
136;13.6364
137;13.6364
138;13.6364
139;13.6364
140;13.6364
141;13.6364
142;13.6364
143;13.6364
144;13.6364
145;13.6364
146;13.6364
147;13.6364
148;13.6364
149;13.6364
150;13.6364
151;13.6364
152;13.6364
153;13.6364
154;13.6364
155;13.6364
156;13.6364
157;13.6364
158;13.6364
159;13.6364
160;13.6364
161;13.6364
162;13.6364
163;13.6364
164;13.6364
165;13.6364
166;13.6364
167;13.6364
168;13.6364
169;13.6364
170;13.6364
171;13.6364
172;13.6364
173;13.6364
174;13.6364
175;13.6364
176;13.6364
177;13.6364
178;13.6364
179;13.6364
180;13.6364
181;13.6364
182;13.6364
183;13.6364
184;9.63636
185;9.63636
186;9.63636
187;9.63636
188;9.63636
189;9.63636
190;9.63636
191;9.63636
192;9.63636
193;9.63636
194;9.63636
195;9.63636
196;9.63636
197;9.63636
198;9.63636
199;5.63636
200;5.63636
201;5.63636
202;5.63636
203;5.63636
204;5.63636
205;5.63636
206;5.63636
207;5.63636
208;5.63636
209;5.63636
210;5.63636
211;5.63636
212;5.63636
213;5.63636
214;5.63636
215;5.63636
216;5.63636
217;3.63636
218;3.63636
219;3.63636
220;3.63636
221;3.63636
222;3.63636
223;3.63636
224;3.63636
225;3.63636
226;3.63636
227;3.63636
228;3.63636
229;3.63636
230;3.63636
231;3.63636
232;3.63636
233;3.63636
234;3.63636
235;3.63636
236;3.63636
237;3.63636
238;3.63636
239;3.63636
240;3.63636
241;3.63636
242;3.63636
243;3.63636
244;3.63636
245;3.63636
246;3.63636
247;3.63636
248;3.63636
249;3.63636
250;3.63636
251;3.63636
252;3.63636
253;3.63636
254;3.63636
255;3.63636
256;3.63636
257;3.63636
258;3.63636
259;3.63636
260;3.63636
261;3.63636
262;3.63636
263;3.63636
264;3.63636
265;3.63636
266;3.63636
267;3.63636
268;3.63636
269;3.63636
270;3.63636
271;3.63636
272;3.63636
273;3.63636
274;3.63636
275;3.63636
276;3.63636
277;3.63636
278;3.63636
279;3.63636
280;3.63636
281;3.63636
282;3.63636
283;3.63636
284;3.63636
285;3.63636
286;3.63636
287;3.63636
288;3.63636
289;3.63636
290;3.63636
291;3.63636
292;3.63636
293;3.63636
294;3.63636
295;3.63636
296;3.63636
297;3.63636
298;3.63636
299;3.63636
300;3.63636
301;3.63636
302;3.63636
303;3.63636
304;3.63636
305;3.63636
306;3.63636
307;3.63636
308;3.63636
309;3.63636
310;3.63636
311;3.63636
312;3.63636
313;3.63636
314;3.63636
315;3.63636
316;3.63636
317;3.63636
318;3.63636
319;3.63636
320;3.63636
321;3.63636
322;3.63636
323;3.63636
324;3.63636
325;3.63636
326;3.63636
327;3.63636
328;3.63636
329;3.63636
330;3.63636
331;3.63636
332;3.63636
333;3.63636
334;3.63636
335;3.63636
336;3.63636
337;3.63636
338;3.63636
339;3.63636
340;3.63636
341;3.63636
342;3.63636
343;3.63636
344;3.63636
345;3.63636
346;3.63636
347;3.63636
348;3.63636
349;3.63636
350;3.63636
351;3.63636
352;3.63636
353;3.63636
354;3.63636
355;3.63636
356;3.63636
357;3.63636
358;3.63636
359;3.63636
360;3.63636
361;3.63636
362;3.63636
363;3.63636
364;3.63636
365;3.63636
366;3.63636
367;3.63636
368;3.63636
369;3.63636
370;3.63636
371;3.63636
372;3.63636
373;3.63636
374;3.63636
375;3.63636
376;3.63636
377;3.63636
378;3.63636
379;3.63636
380;3.63636
381;3.63636
382;3.63636
383;3.63636
384;3.63636
385;3.63636
386;3.63636
387;3.63636
388;3.63636
389;3.63636
390;3.63636
391;3.63636
392;3.63636
393;3.63636
394;3.63636
395;3.63636
396;3.63636
397;3.63636
398;3.63636
399;3.63636
400;3.63636
401;3.63636
402;3.63636
403;3.63636
404;3.63636
405;3.63636
406;3.63636
407;3.63636
408;3.63636
409;3.63636
410;3.63636
411;3.63636
412;3.63636
413;3.63636
414;3.63636
415;3.63636
416;3.63636
417;3.63636
418;3.63636
419;3.63636
420;3.63636
421;3.63636
422;3.63636
423;3.63636
424;3.63636
425;3.63636
426;3.63636
427;3.63636
428;3.63636
429;3.63636
430;3.63636
431;3.63636
432;3.63636
433;3.63636
434;3.63636
435;3.63636
436;3.63636
437;3.63636
438;3.63636
439;3.63636
440;3.63636
441;3.63636
442;3.63636
443;3.63636
444;3.63636
445;3.63636
446;3.63636
447;3.63636
448;3.63636
449;3.63636
450;3.63636
451;3.63636
452;3.63636
453;3.63636
454;3.63636
455;3.63636
456;3.63636
457;3.63636
458;3.63636
459;3.63636
460;3.63636
461;3.63636
462;3.63636
463;3.63636
464;3.63636
465;3.63636
466;3.63636
467;3.63636
468;3.63636
469;3.63636
470;3.63636
471;3.63636
472;3.63636
473;3.63636
474;3.63636
475;3.63636
476;3.63636
477;3.63636
478;3.63636
479;3.63636
480;3.63636
481;3.63636
482;3.63636
483;3.63636
484;3.63636
485;3.63636
486;3.63636
487;3.63636
488;3.63636
489;3.63636
490;3.63636
491;3.63636
492;3.63636
493;3.63636
494;3.63636
495;3.63636
496;3.63636
497;3.63636
498;3.63636
499;3.63636
500;3.63636
501;3.63636
502;3.63636
503;3.63636
504;3.63636
505;3.63636
506;3.63636
507;3.63636
508;3.63636
509;3.63636
510;3.63636
511;3.63636
512;3.63636
513;3.63636
514;3.63636
515;3.63636
516;3.63636
517;3.63636
518;3.63636
519;3.63636
520;3.63636
521;3.63636
522;3.63636
523;3.63636
524;3.63636
525;3.63636
526;3.63636
527;3.63636
528;3.63636
529;3.63636
530;3.63636
531;3.63636
532;3.63636
533;3.63636
534;3.63636
535;3.63636
536;3.63636
537;3.63636
538;3.63636
539;3.63636
540;3.63636
541;3.63636
542;3.63636
543;3.63636
544;3.63636
545;3.63636
546;3.63636
547;3.63636
548;3.63636
549;3.63636
550;3.63636
551;3.63636
552;3.63636
553;3.63636
554;3.63636
555;3.63636
556;3.63636
557;3.63636
558;3.63636
559;3.63636
560;3.63636
561;3.63636
562;3.63636
563;3.63636
564;3.63636
565;3.63636
566;3.63636
567;3.63636
568;3.63636
569;3.63636
570;3.63636
571;3.63636
572;3.63636
573;3.63636
574;3.63636
575;3.63636
576;3.63636
577;3.63636
578;3.63636
579;3.63636
580;3.63636
581;3.63636
582;3.63636
583;3.63636
584;3.63636
585;3.63636
586;3.63636
587;3.63636
588;3.63636
589;3.63636
590;3.63636
591;3.63636
592;3.63636
593;3.63636
594;3.63636
595;3.63636
596;3.63636
597;3.63636
598;3.63636
599;3.63636
