id_sol;period;courses;total_credits;period_fit
1;1;icdxx1,mat021,qui010,hcw310,hrwxx1,iwi131,iwn170,ili260,dew100;24;2.77778
1;2;ili151,iwn270,ili134,iwn261,iwg101,hrwxx3,mat022,dew101,hcw311;24;2.77778
1;3;ili153,ili263,hrwxx2,ili135,ili270,dewxx0,mat023,fis100;23;0.444444
1;4;ili362,ili245,mat024,fis110,ili239,ili253;24;2.77778
1;5;ili243,fis120,ili280,fis130,icdxx2,ili236;23;0.444444
1;6;ici344,ili355,fis140,ili332;16;40.1111
2;1;icdxx1,mat021,qui010,hcw310,hrwxx1,iwi131,iwn170,ili260,dew100;24;2.77778
2;2;ili151,iwn270,ili134,iwn261,iwg101,hrwxx3,mat022,dew101,hcw311;24;2.77778
2;3;ili153,ili263,hrwxx2,ili135,ili270,dewxx0,mat023,fis100;23;0.444444
2;4;ili362,ili245,mat024,fis110,ili239,ili253;24;2.77778
2;5;ili243,fis120,ili280,fis130,icdxx2,ili236;23;0.444444
2;6;ici344,ili355,fis140,ili332;16;40.1111
3;1;icdxx1,mat021,qui010,hcw310,hrwxx1,iwi131,iwn170,ili260,dew100;24;2.77778
3;2;ili151,iwn270,ili134,iwn261,iwg101,hrwxx3,mat022,dew101,hcw311;24;2.77778
3;3;ili153,ili263,hrwxx2,ili135,ili270,dewxx0,mat023,fis100;23;0.444444
3;4;ili362,ili245,mat024,fis110,ili239,ili253;24;2.77778
3;5;ili243,fis120,ili280,fis130,icdxx2,ili236;23;0.444444
3;6;ici344,ili355,fis140,ili332;16;40.1111
