id_sol;period;courses;total_credits;period_fit
1;1;inf312,dew100,inf313,fis100,inf6,iwi131,inf3,inf311,inf7;34;9
1;2;inf134,inf303,inf2,inf301,inf4,hrw132,inf314,hrw133,inf5,inf1;35;16
1;3;inf239,inf302,inf253,iwg101,inf304,inf245;30;1
1;4;inf236,inf260,inf246,mat021,qui010,dew101;29;4
1;5;inf225,inf270,inf256,inf152,mat022;28;9
1;6;inf322,inf343,inf221,inf276,fis110;28;9
1;7;inf266,mat023,fis130,fis120,inf155;34;9
1;8;inf360,mat024,iwn170,inf292,inf280;28;9
1;9;inf309,inf228,icn270,inf285,inf295;31;0
1;10;inf310,fis140,inf293;33;4
2;1;inf312,dew100,inf313,fis100,inf6,iwi131,inf3,inf311,inf7;34;9
2;2;inf134,inf303,inf2,inf301,inf4,hrw132,inf314,hrw133,inf5,inf1;35;16
2;3;inf239,inf302,inf253,iwg101,inf304,inf245;30;1
2;4;inf236,inf260,inf246,mat021,qui010,dew101;29;4
2;5;inf225,inf270,inf256,inf152,mat022;28;9
2;6;inf322,inf343,inf221,inf276,fis110;28;9
2;7;inf266,mat023,fis130,fis120,inf155;34;9
2;8;inf360,mat024,iwn170,inf292,inf280;28;9
2;9;inf309,inf228,icn270,inf285,inf295;31;0
2;10;inf310,fis140,inf293;33;4
3;1;inf312,dew100,inf313,fis100,inf6,iwi131,inf3,inf311,inf7;34;9
3;2;inf134,inf303,inf2,inf301,inf4,hrw132,inf314,hrw133,inf5,inf1;35;16
3;3;inf239,inf302,inf253,iwg101,inf304,inf245;30;1
3;4;inf236,inf260,inf246,mat021,qui010,dew101;29;4
3;5;inf225,inf270,inf256,inf152,mat022;28;9
3;6;inf322,inf343,inf221,inf276,fis110;28;9
3;7;inf266,mat023,fis130,fis120,inf155;34;9
3;8;inf360,mat024,iwn170,inf292,inf280;28;9
3;9;inf309,inf228,icn270,inf285,inf295;31;0
3;10;inf310,fis140,inf293;33;4
