id_sol;period;courses;total_credits;period_fit;total_fit
1;1;iwi131,hrw132,inf1,inf301,inf302,inf7,inf304,;27;1.39669;5.63636
1;2;inf134,iwg101,fis100,dew100,inf311,inf314,;28;0.0330578;5.63636
1;3;inf253,inf239,inf260,mat021,inf245,;28;0.0330578;5.63636
1;4;inf270,mat022,fis110,inf246,dew101,inf2,;29;0.669422;5.63636
1;5;inf236,inf276,inf152,mat023,fis130,;29;0.669422;5.63636
1;6;inf225,inf266,inf221,iwn170,inf280,inf6,;29;0.669422;5.63636
1;7;inf322,mat024,inf292,fis120,inf256,;29;0.669422;5.63636
1;8;inf360,icn270,inf293,inf295,inf155,;28;0.0330578;5.63636
1;9;inf228,inf309,fis140,inf343,inf5,;28;0.0330578;5.63636
1;10;inf310,inf3,inf312,;27;1.39669;5.63636
1;11;inf303,inf285,qui010,hrw133,inf4,inf313,;28;0.0330578;5.63636
2;1;iwi131,hrw132,inf1,inf2,inf301,inf302,inf7,inf304,;29;0.669422;5.63636
2;2;inf134,iwg101,fis100,dew100,inf311,inf314,;28;0.0330578;5.63636
2;3;inf253,inf239,inf260,mat021,inf245,;28;0.0330578;5.63636
2;4;inf270,mat022,fis110,inf246,dew101,;27;1.39669;5.63636
2;5;inf236,inf276,inf152,mat023,fis130,;29;0.669422;5.63636
2;6;inf225,inf266,inf221,iwn170,inf280,inf6,;29;0.669422;5.63636
2;7;inf322,mat024,inf292,fis120,inf256,;29;0.669422;5.63636
2;8;inf360,icn270,inf293,inf295,inf155,;28;0.0330578;5.63636
2;9;inf228,inf309,fis140,inf343,inf5,;28;0.0330578;5.63636
2;10;inf310,inf3,inf312,;27;1.39669;5.63636
2;11;inf303,inf285,qui010,hrw133,inf4,inf313,;28;0.0330578;5.63636
3;1;inf301,iwi131,hrw132,inf1,inf2,inf302,inf7,inf304,;29;0.669422;5.63636
3;2;inf134,iwg101,fis100,dew100,inf311,inf314,;28;0.0330578;5.63636
3;3;inf253,inf239,inf260,mat021,inf245,;28;0.0330578;5.63636
