id_sol;period;courses;total_credits;period_fit;total_fit
1;1;inf245,fis140,inf236,inf5,inf304,;25;0.510203;5.42857
1;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
1;3;icn270,inf276,inf322,inf311,inf312,;25;0.510203;5.42857
1;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
1;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
1;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
1;7;inf310,inf285,;25;0.510203;5.42857
2;1;inf245,fis140,inf236,inf5,inf304,;25;0.510203;5.42857
2;2;inf313,inf246,inf292,inf270,inf225,inf4,;27;1.65306;5.42857
2;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
2;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
2;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
2;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
2;7;inf310,inf285,;25;0.510203;5.42857
3;1;inf245,fis140,inf236,inf5,inf304,;25;0.510203;5.42857
3;2;inf313,inf246,inf292,inf270,inf225,inf4,;27;1.65306;5.42857
3;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
3;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
3;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
3;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
3;7;inf310,inf285,;25;0.510203;5.42857
4;1;inf304,inf245,fis140,inf236,inf5,;25;0.510203;5.42857
4;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
4;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
4;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
4;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
4;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
4;7;inf310,inf285,;25;0.510203;5.42857
5;1;inf304,inf245,fis140,inf236,inf5,;25;0.510203;5.42857
5;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
5;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
5;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
5;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
5;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
5;7;inf310,inf285,;25;0.510203;5.42857
6;1;inf245,fis140,inf236,inf5,inf304,;25;0.510203;5.42857
6;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
6;3;inf311,inf276,inf322,icn270,inf312,;25;0.510203;5.42857
6;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
6;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
6;6;inf228,inf309,inf3,inf301,inf302,inf6,;26;0.0816331;5.42857
6;7;inf310,inf285,;25;0.510203;5.42857
7;1;inf245,fis140,inf236,inf5,inf304,;25;0.510203;5.42857
7;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
7;3;icn270,inf276,inf322,inf311,inf312,;25;0.510203;5.42857
7;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
7;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
7;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
7;7;inf310,inf285,;25;0.510203;5.42857
8;1;inf304,inf245,inf236,inf313,inf292,;25;0.510203;5.42857
8;2;inf246,fis140,inf270,inf225,inf4,inf5,;27;1.65306;5.42857
8;3;inf280,inf276,icn270,inf311,inf312,;25;0.510203;5.42857
8;4;inf256,inf266,inf322,inf221,inf303,;25;0.510203;5.42857
8;5;inf343,inf295,inf360,inf3,inf6,inf7,inf314,;26;0.0816331;5.42857
8;6;inf228,inf309,inf285,inf301,inf302,;27;1.65306;5.42857
8;7;inf293,inf310,;25;0.510203;5.42857
9;1;inf304,inf245,fis140,inf236,inf5,;25;0.510203;5.42857
9;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
9;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
9;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
9;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
9;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
9;7;inf310,inf285,;25;0.510203;5.42857
10;1;inf245,fis140,inf236,inf5,inf304,;25;0.510203;5.42857
10;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
10;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
10;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
10;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
10;6;inf301,inf228,inf309,inf3,inf6,inf302,;26;0.0816331;5.42857
10;7;inf310,inf285,;25;0.510203;5.42857
11;1;inf304,inf245,fis140,inf236,inf5,;25;0.510203;5.42857
11;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
11;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
11;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
11;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
11;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
11;7;inf310,inf285,;25;0.510203;5.42857
12;1;inf304,inf245,fis140,inf236,inf5,;25;0.510203;5.42857
12;2;inf246,inf292,inf270,inf225,inf4,inf313,;27;1.65306;5.42857
12;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;5.42857
12;4;inf256,inf280,inf266,inf221,inf303,;25;0.510203;5.42857
12;5;inf343,inf293,inf295,inf360,inf7,inf314,;27;1.65306;5.42857
12;6;inf228,inf309,inf3,inf301,inf6,inf302,;26;0.0816331;5.42857
12;7;inf310,inf285,;25;0.510203;5.42857
13;1;inf245,fis140,inf236,inf304,inf313,;28;5.22449;11.4286
13;2;inf246,inf292,inf270,inf225,inf4,inf5,;24;2.93877;11.4286
13;3;inf276,inf322,icn270,inf311,inf312,;25;0.510203;11.4286
13;4;inf256,inf266,inf221,inf303,inf280,;25;0.510203;11.4286
13;5;inf343,inf295,inf360,inf3,inf6,inf7,inf314,;26;0.0816331;11.4286
13;6;inf228,inf309,inf285,inf301,inf302,;27;1.65306;11.4286
