id_sol;period;courses;total_credits;period_fit;total_fit
1;1;dew100,mat190,iwg101,iwi131,hxwxx2,iwi365,iwn270,iei218,;20;11.3906;49.4844
1;2;iei162,fis100,mat192,hcw310,iwn170,iwn261,hfw120,hrw130,;21;19.1406;49.4844
1;3;fis101,mat191,iei134,iei261,iei161,;18;1.89062;49.4844
1;4;iei271,dew101,mat193,iei132,iei231,iei141,;18;1.89062;49.4844
1;5;iei272,iei273,mat194,iei133,iei233,iei142,;20;11.3906;49.4844
1;6;iei232,dewxx0,mat195,iei248,iei241,hxwxx1,iei262,;18;1.89062;49.4844
1;7;iei219,iei274,iei281,fis102,hcw311,iei238,;18;1.89062;49.4844
2;1;iwn270,dew100,mat190,iwg101,iwi131,hxwxx2,iwi365,iei218,;20;11.3906;49.4844
2;2;fis100,mat192,hcw310,iei162,iwn170,iwn261,hfw120,hrw130,;21;19.1406;49.4844
2;3;fis101,mat191,iei134,iei261,iei161,;18;1.89062;49.4844
2;4;dew101,mat193,iei132,iei231,iei141,iei271,;18;1.89062;49.4844
2;5;mat194,iei133,iei233,iei142,iei272,iei273,;20;11.3906;49.4844
2;6;dewxx0,mat195,iei248,iei241,hxwxx1,iei232,iei262,;18;1.89062;49.4844
2;7;iei281,fis102,hcw311,iei238,iei219,iei274,;18;1.89062;49.4844
3;1;dew100,mat190,iwg101,iwi131,hxwxx2,iwi365,iwn270,iei218,;20;11.3906;49.4844
3;2;hfw120,fis100,mat192,hcw310,iei162,iwn170,iwn261,hrw130,;21;19.1406;49.4844
3;3;fis101,mat191,iei134,iei261,iei161,;18;1.89062;49.4844
3;4;dew101,mat193,iei132,iei231,iei141,iei271,;18;1.89062;49.4844
3;5;mat194,iei133,iei233,iei142,iei272,iei273,;20;11.3906;49.4844
3;6;dewxx0,mat195,iei248,iei241,hxwxx1,iei232,iei262,;18;1.89062;49.4844
3;7;iei281,fis102,hcw311,iei238,iei219,iei274,;18;1.89062;49.4844
