id_sol;period;courses;total_credits;period_fit;total_fit
1;1;dew100,mat190,hcw310,iwi131,hxwxx1,iei162,iwn261,;16;0.390625;1.875
1;2;dew101,fis100,mat192,iwn170,iwi365,iwn270,;17;0.140625;1.875
1;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;1.875
1;4;fis101,mat193,hcw311,iei141,hxwxx2,iei261,;17;0.140625;1.875
1;5;dewxx0,mat194,iwg101,iei231,iei142,iei273,;17;0.140625;1.875
1;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;1.875
1;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;1.875
1;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;1.875
2;1;iwi131,dew100,mat190,hcw310,hxwxx1,iei162,iwi365,;16;0.390625;1.875
2;2;dew101,fis100,mat192,iwn170,iwn261,iwn270,;17;0.140625;1.875
2;3;iei134,mat191,iei271,iei161,iei262,;16;0.390625;1.875
2;4;iei141,dewxx0,fis101,mat193,hcw311,iwg101,hxwxx2,;17;0.140625;1.875
2;5;iei231,iei142,mat194,iei273,iei261,;17;0.140625;1.875
2;6;iei132,iei233,iei241,mat195,iei232,;17;0.140625;1.875
2;7;iei133,iei238,fis102,iei274,iei218,;17;0.140625;1.875
2;8;iei248,iei281,iei272,iei219,hfw120,hrw130,;16;0.390625;1.875
3;1;dew100,mat190,hcw310,iwi131,hxwxx1,iei162,iwn261,;16;0.390625;1.875
3;2;dew101,fis100,mat192,iwn170,iwi365,iwn270,;17;0.140625;1.875
3;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;1.875
3;4;fis101,mat193,hcw311,iei141,hxwxx2,iei261,;17;0.140625;1.875
3;5;dewxx0,mat194,iwg101,iei231,iei142,iei273,;17;0.140625;1.875
3;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;1.875
3;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;1.875
3;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;1.875
4;1;mat190,dew100,hcw310,iwi131,hxwxx1,iei162,fis100,;16;0.390625;3.875
4;2;mat192,dew101,iwn170,iwn261,iwi365,iwn270,;17;0.140625;3.875
4;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;3.875
4;4;mat193,fis101,iwg101,iei141,hxwxx2,hcw311,;16;0.390625;3.875
4;5;mat194,dewxx0,iei231,iei142,iei273,iei261,;18;1.89062;3.875
4;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;3.875
4;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;3.875
4;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;3.875
5;1;mat190,dew100,hcw310,iwi131,hxwxx1,iei162,iwn170,;16;0.390625;3.875
5;2;mat192,fis100,dew101,iwn261,iwi365,iwn270,;17;0.140625;3.875
5;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;3.875
5;4;mat193,fis101,hcw311,iwg101,iei141,hxwxx2,;16;0.390625;3.875
5;5;mat194,dewxx0,iei231,iei142,iei273,iei261,;18;1.89062;3.875
5;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;3.875
5;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;3.875
5;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;3.875
6;1;mat190,dew100,hcw310,iwi131,hxwxx1,iei162,fis100,;16;0.390625;3.875
6;2;mat192,dew101,iwn170,iwn261,iwi365,iwn270,;17;0.140625;3.875
6;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;3.875
6;4;mat193,fis101,iwg101,iei141,hxwxx2,hcw311,;16;0.390625;3.875
6;5;mat194,dewxx0,iei231,iei142,iei273,iei261,;18;1.89062;3.875
6;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;3.875
6;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;3.875
6;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;3.875
7;1;fis100,mat190,dew100,hcw310,iwi131,hxwxx1,iei162,;16;0.390625;3.875
7;2;mat192,iwn170,iwn261,iwi365,iwn270,;16;0.390625;3.875
7;3;mat191,dew101,iei134,iei271,iei161,iei262,;17;0.140625;3.875
7;4;fis101,mat193,hcw311,iwg101,iei141,hxwxx2,;16;0.390625;3.875
7;5;mat194,dewxx0,iei231,iei142,iei273,iei261,;18;1.89062;3.875
7;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;3.875
7;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;3.875
7;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;3.875
8;1;mat190,dew100,hcw310,iwi131,hxwxx1,iei162,fis100,;16;0.390625;3.875
8;2;mat192,dew101,iwn170,iwn261,iwi365,iwn270,;17;0.140625;3.875
8;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;3.875
8;4;mat193,fis101,iwg101,iei141,hxwxx2,hcw311,;16;0.390625;3.875
8;5;mat194,dewxx0,iei231,iei142,iei273,iei261,;18;1.89062;3.875
8;6;mat195,iei132,iei233,iei241,iei232,;17;0.140625;3.875
8;7;fis102,iei133,iei238,iei274,iei218,;17;0.140625;3.875
8;8;iei281,iei248,iei272,iei219,hfw120,hrw130,;16;0.390625;3.875
9;1;mat190,dew100,hcw310,iwi131,hxwxx1,iei162,fis100,;16;0.390625;3.875
9;2;mat192,dew101,iwn170,iwn261,iwi365,iwn270,;17;0.140625;3.875
9;3;mat191,iei134,iei271,iei161,iei262,;16;0.390625;3.875
9;4;mat193,fis101,iwg101,iei141,hxwxx2,hcw311,;16;0.390625;3.875
