id_sol;period;courses;total_credits;period_fit;total_fit
1;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
1;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
1;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
1;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
1;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
1;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
2;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
2;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
2;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
2;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
2;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
2;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
3;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
3;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
3;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
3;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
3;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
3;6;iei261,iei132,fis102,iei248,iei281,iei219,iei238,;23;0.694445;2.83333
4;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
4;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
4;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
4;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
4;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
4;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
5;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
5;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
5;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
5;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
5;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
5;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
6;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
6;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
6;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
6;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
6;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
6;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
7;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
7;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
7;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
7;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
7;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
7;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
8;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;2.83333
8;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;2.83333
8;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;1.36111;2.83333
8;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;2.83333
8;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;2.83333
8;6;iei261,iei132,fis102,iei248,iei219,iei238,iei281,;23;0.694445;2.83333
9;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;0.0277776;8.83333
9;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;0.694445;8.83333
9;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,iei261,;24;3.36111;8.83333
9;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;0.0277776;8.83333
9;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;0.0277776;8.83333
9;6;iei281,iei132,fis102,iei248,iei219,iei238,;20;4.69444;8.83333
10;1;iwi131,hrw130,iwg101,iwi365,iwn270,hxwxx2,iwn170,fis100,hxwxx1,hcw310,;22;9;220
10;2;iei141,dew100,mat190,iei218,hfw120,iei162,mat192,iwn261,;23;16;220
10;3;iei142,mat191,mat193,iei161,iei134,iei271,hcw311,;21;4;220
10;4;mat194,iei273,iei272,iei231,iei241,iei262,dew101,;22;9;220
10;5;mat195,iei232,iei274,iei233,iei133,dewxx0,fis101,;22;9;220
10;6;iei132,fis102,iei248,iei219,iei238,;17;4;220
10;7;iei281,iei261,;6;169;220
11;1;;0;78.0278;288.833
11;2;iei141,;3;34.0278;288.833
11;3;hcw311,mat191,mat193,iei134,iei271,iei161,;18;84.0278;288.833
11;4;dew101,iei241,iei262,;8;0.694444;288.833
11;5;fis101,mat195,iei233,iei232,iei274,;18;84.0278;288.833
11;6;iei238,iei261,;6;8.02778;288.833
12;1;;0;78.0278;288.833
12;2;iei141,;3;34.0278;288.833
12;3;iei271,hcw311,mat191,mat193,iei134,iei161,;18;84.0278;288.833
12;4;dew101,iei241,iei262,;8;0.694444;288.833
12;5;fis101,mat195,iei233,iei232,iei274,;18;84.0278;288.833
12;6;iei238,iei261,;6;8.02778;288.833
13;1;;0;78.0278;288.833
13;2;iei141,;3;34.0278;288.833
13;3;iei271,hcw311,mat191,mat193,iei134,iei161,;18;84.0278;288.833
